sta_num,from,zone,zone_new,date,year,mon,day_real,month,no,nh,cha
SS18,haiyang,4,4,2018/8/10,2018,8,10,8,0.231,0.049,
SS19,haiyang,4,4,2018/8/9,2018,8,9,8,0.203,0.051,
SS20,haiyang,3,3,2018/8/8,2018,8,8,8,0.203,0.043,
SS21,haiyang,3,0,2018/8/10,2018,8,10,8,0.216,0.044,
SS22,haiyang,3,3,2018/8/10,2018,8,10,8,0.327,0.045,
SS23,haiyang,4,5,2018/8/9,2018,8,9,8,0.223,0.038,
SS24,haiyang,4,5,2018/8/9,2018,8,9,8,0.634,0.03,
SS08,haiyang,2,2,2018/10/11,2018,10,11,11,0.385192168,0.04,
SS09,haiyang,2,2,2018/10/11,2018,10,11,11,0.349629376,0.039,
SS10,haiyang,2,2,2018/10/11,2018,10,11,11,0.302497965,0.038,
SS11,haiyang,2,1,2018/10/9,2018,10,9,11,0.408329406,0.041,
SS15,haiyang,1,1,2018/10/9,2018,10,9,11,0.316208921,0.038,
SS16,haiyang,1,1,2018/10/9,2018,10,9,11,0.290500878,0.038,
SS17,haiyang,1,1,2018/10/9,2018,10,9,11,0.318779725,0.039,
SS18,haiyang,4,4,2018/10/9,2018,10,9,11,0.384,0.037,
SS19,haiyang,4,4,2018/10/10,2018,10,10,11,0.301212563,0.037,
SS20,haiyang,3,3,2018/10/11,2018,10,11,11,0.278075325,0.035,
SS21,haiyang,3,0,2018/10/12,2018,10,12,11,0.316,0.038,
SS22,haiyang,3,3,2018/10/13,2018,10,13,11,0.245083337,0.036,
SS23,haiyang,4,5,2018/10/14,2018,10,14,11,0.352628647,0.032,
SS24,haiyang,4,5,2018/10/15,2018,10,15,11,0.302497965,0.034,
F6,huanbao2,2,0,2019/5/16,2019,5,16,5,0.5485,0.0595,1.0852
D35YQ018,huanbao2,2,0,2019/4/25,2019,4,25,5,0.742,0.083,1.0098
F11,huanbao2,3,0,2019/5/17,2019,5,17,5,0.4335,0.106,0.8921
D35YQ016,huanbao2,3,3,2019/4/23,2019,4,23,5,0.43,0.018,0.4416
F10,huanbao2,3,0,2019/5/16,2019,5,16,5,0.4563,0.05733,0.855
D35YQ129,huanbao2,4,4,2019/4/23,2019,4,23,5,0.51,0.10433,0.2208
F9,huanbao2,1,0,2019/5/16,2019,5,16,5,0.471,0.066,1.4773
D35YQ022,huanbao2,1,0,2019/4/25,2019,4,25,5,0.64,0.185,1.1372
D35YQ026,huanbao2,4,4,2019/4/23,2019,4,23,5,0.4338,0.028,0.3393
F12,huanbao2,5,0,2019/5/10,2019,5,10,5,0.3957,0.026,1.2966
FJ009W,huanbao2,5,5,2019/4/29,2019,4,29,5,0.202,0.017,0.5891
D35YQ128,huanbao2,3,0,2019/4/25,2019,4,25,5,0.695,0.089,0.6116
D35YQ126,huanbao2,2,2,2019/4/28,2019,4,28,5,0.221,0.048,0.4497
D35YQ125,huanbao2,2,2,2019/4/28,2019,4,28,5,0.417,0.079,0.4578
D35YQ127,huanbao2,1,1,2019/4/28,2019,4,28,5,0.272,0.11,0.5609
F8,huanbao2,1,0,2019/5/16,2019,5,16,5,0.535,0.092,0.9792
D35YQ024,huanbao2,4,4,2019/4/23,2019,4,23,5,0.463,0.03933,0.2998
D35YQ019,huanbao2,1,0,2019/4/25,2019,4,25,5,0.6495,0.0845,0.8921
D35YQ023,huanbao2,1,1,2019/4/25,2019,4,25,5,0.566,0.096,0.5601
F7,huanbao2,2,0,2019/5/16,2019,5,16,5,0.513,0.057,1.5792
D35YQ021,huanbao2,3,3,2019/4/25,2019,4,25,5,0.511,0.083,0.4578
F6,huanbao2,2,0,2019/7/24,2019,7,24,8,0.446,0.074,2.0562
D35YQ018,huanbao2,2,2,2019/8/8,2019,8,8,8,0.25,0.0745,1.95
F11,huanbao2,3,0,2019/7/24,2019,7,24,8,0.364,0.17,2.0994
D35YQ016,huanbao2,3,3,2019/8/18,2019,8,18,8,0.174,0.026,0.88
F10,huanbao2,3,0,2019/7/24,2019,7,24,8,0.2783,0.06433,3.2789
D35YQ129,huanbao2,4,4,2019/8/17,2019,8,17,8,0.2005,0.0335,0.68
F9,huanbao2,1,0,2019/7/24,2019,7,24,8,0.327,0.05,1.8004
D35YQ022,huanbao2,1,1,2019/8/8,2019,8,8,8,0.167,0.087,1.83
D35YQ026,huanbao2,4,4,2019/8/19,2019,8,19,8,0.1372,0.02075,0.605
F12,huanbao2,5,0,2019/8/15,2019,8,15,8,0.0687,0.01967,2.1059
FJ009W,huanbao2,5,5,2019/8/15,2019,8,15,8,0.139,0.02667,0.47
D35YQ128,huanbao2,3,3,2019/8/8,2019,8,8,8,0.249,0.064,1.34
D35YQ126,huanbao2,2,2,2019/8/16,2019,8,16,8,0.196,0.018,0.88
D35YQ125,huanbao2,2,2,2019/8/16,2019,8,16,8,0.585,0.058,1.49
D35YQ127,huanbao2,1,1,2019/8/8,2019,8,8,8,0.3595,0.0745,1.46
F8,huanbao2,1,0,2019/7/24,2019,7,24,8,0.4095,0.0525,1.3499
D35YQ024,huanbao2,4,4,2019/8/14,2019,8,14,8,0.1155,0.0375,0.665
D35YQ019,huanbao2,1,1,2019/8/8,2019,8,8,8,0.2155,0.0595,1.8
D35YQ023,huanbao2,1,1,2019/8/14,2019,8,14,8,0.081,0.0155,1.52
F7,huanbao2,2,0,2019/7/24,2019,7,24,8,0.3635,0.0445,3.3308
D35YQ021,huanbao2,3,3,2019/8/14,2019,8,14,8,0.1385,0.023,1.27
F6,huanbao2,2,0,2019/10/16,2019,10,16,11,0.2365,0.0265,4.08
D35YQ018,huanbao2,2,2,2019/10/17,2019,10,17,11,0.596,0.0235,0.91
F11,huanbao2,3,0,2019/10/16,2019,10,16,11,0.283,0.01,2.64
D35YQ016,huanbao2,3,3,2019/10/29,2019,10,29,11,0.453,0.076,0.6
F10,huanbao2,3,0,2019/10/16,2019,10,16,11,0.321,0.01633,5.3267
D35YQ129,huanbao2,4,4,2019/10/30,2019,10,30,11,0.499,0.064,0.525
F9,huanbao2,1,0,2019/10/16,2019,10,16,11,0.148,0.034,4.285
D35YQ022,huanbao2,1,0,2019/10/17,2019,10,17,11,0.709,0.12,0.65
D35YQ026,huanbao2,4,4,2019/10/17,2019,10,17,11,0.5095,0.028,0.655
F12,huanbao2,5,0,2019/10/11,2019,10,11,11,0.282,0.01633,2.7033
FJ009W,huanbao2,5,5,2019/10/26,2019,10,26,11,0.4048,0.032,0.91
D35YQ128,huanbao2,3,0,2019/10/17,2019,10,17,11,0.6295,0.018,0.545
D35YQ126,huanbao2,2,0,2019/11/1,2019,11,1,11,0.965,0.012,0.44
D35YQ125,huanbao2,2,0,2019/11/1,2019,11,1,11,1.05,0.009,0.92
D35YQ127,huanbao2,1,0,2019/10/17,2019,10,17,11,0.664,0.045,1.5
F8,huanbao2,1,0,2019/10/16,2019,10,16,11,0.4005,0.009,2.915
D35YQ024,huanbao2,4,4,2019/10/17,2019,10,17,11,0.5257,0.031,0.67
D35YQ019,huanbao2,1,0,2019/10/17,2019,10,17,11,0.6145,0.0295,0.775
D35YQ023,huanbao2,1,1,2019/10/17,2019,10,17,11,0.5995,0.0325,0.49
F7,huanbao2,2,0,2019/10/16,2019,10,16,11,0.387,0.027,1.405
D35YQ021,huanbao2,3,3,2019/10/17,2019,10,17,11,0.5835,0.0355,0.72
FJD10019,huanbao2,2,2,2020/4/21,2020,4,21,5,0.4645,0.151,1.43
